Teacher,Designation,Day,Time,Subject,Section,Room,Type
Associate Professor 6,Associate Professor,Tuesday,09:30-10:30,Artificial Intelligence,ISE_S5_A,CR_5,OE
Associate Professor 6,Associate Professor,Tuesday,14:30-15:30,Physical Education,ISE_S5_B,CR_4,PE
Associate Professor 6,Associate Professor,Wednesday,09:30-10:30,Artificial Intelligence,ISE_S5_B,CR_4,OE
Associate Professor 6,Associate Professor,Wednesday,14:30-15:30,Physical Education,"ISE_S5_A,CSBS_S5_A",CR_5,PE
Associate Professor 6,Associate Professor,Thursday,09:30-10:30,Artificial Intelligence,ISE_S5_A,CR_4,OE
Associate Professor 6,Associate Professor,Thursday,14:30-15:30,Machine Learning Lab,CSBS_S5_A,LAB_2,LAB
Associate Professor 6,Associate Professor,Friday,14:30-15:30,Machine Learning Lab,ISE_S5_A,LAB_1,LAB
Associate Professor 6,Associate Professor,Saturday,14:30-15:30,Physical Education,"ISE_S5_A,CSBS_S5_A",CR_3,PE
Professor 1,Professor,Monday,15:30-16:30,Computer Networks,ISE_S3_A,CR_1,THEORY
Professor 1,Professor,Monday,16:30-17:30,Computer Networks,CSBS_S3_A,CR_3,THEORY
Professor 1,Professor,Wednesday,15:30-16:30,Mathematics for Computing,ISE_S3_A,CR_1,THEORY
Professor 1,Professor,Wednesday,16:30-17:30,Computer Networks,ISE_S3_A,CR_1,THEORY
Professor 1,Professor,Friday,11:50-12:40,Mathematics for Computing,ISE_S3_A,CR_1,THEORY
Professor 1,Professor,Friday,12:40-13:30,Mathematics for Computing,ISE_S3_A,CR_1,THEORY
Professor 1,Professor,Friday,14:30-15:30,Computer Networks,ISE_S3_A,CR_1,THEORY
Professor 1,Professor,Saturday,11:00-11:50,Data Structures Lab,CSBS_S3_A,LAB_1,LAB
Professor 1,Professor,Saturday,15:30-16:30,Computer Networks,CSBS_S3_A,CR_6,THEORY
Professor 1,Professor,Saturday,16:30-17:30,Computer Networks,CSBS_S3_A,CR_4,THEORY
Professor 2,Professor,Monday,09:30-10:30,Programming Fundamentals,CSBS_S1_A,CR_3,THEORY
Professor 2,Professor,Monday,11:00-11:50,Discrete Mathematics,CSBS_S1_B,CR_6,THEORY
Professor 2,Professor,Monday,11:50-12:40,Discrete Mathematics,CSBS_S1_A,CR_5,THEORY
Professor 2,Professor,Monday,14:30-15:30,Discrete Mathematics,CSBS_S1_A,CR_2,THEORY
Professor 2,Professor,Wednesday,11:50-12:40,Discrete Mathematics,CSBS_S1_B,CR_4,THEORY
Professor 2,Professor,Thursday,11:50-12:40,Discrete Mathematics,CSBS_S1_B,CR_5,THEORY
Professor 2,Professor,Thursday,12:40-13:30,Programming Fundamentals,CSBS_S1_A,CR_3,THEORY
Professor 2,Professor,Thursday,14:30-15:30,Computer Networks,ISE_S3_B,CR_2,THEORY
Professor 2,Professor,Thursday,15:30-16:30,Programming Fundamentals,CSBS_S1_A,CR_5,THEORY
Professor 2,Professor,Friday,11:50-12:40,Discrete Mathematics,CSBS_S1_A,CR_3,THEORY
Professor 2,Professor,Friday,15:30-16:30,Computer Networks,ISE_S3_B,CR_1,THEORY
Professor 2,Professor,Saturday,11:50-12:40,Computer Networks,ISE_S3_B,CR_1,THEORY
Professor 3,Professor,Monday,11:50-12:40,Big Data Analytics,ISE_S7_B,CR_4,THEORY
